# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-08-18
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 18:18:43
0,18:18:43,,0.0260,0.4013,0.9156,0.0684,0.3996,0.9141,-0.0047,1.8565,0.0586,0.1813,-0.0452,-0.0081,0.9824
0,18:18:45,,-0.0465,0.2526,0.9665,0.0208,0.2485,0.9684,-0.0016,0.0219,0.0554,0.0757,-0.0273,-0.0259,0.9964
0,18:18:46,,-0.0433,0.2332,0.9715,-0.0044,0.2299,0.9732,0.0011,0.0218,0.0554,0.0758,-0.0068,-0.0348,0.9965
0,18:18:47,,-0.0402,0.3133,0.9488,-0.0011,0.3105,0.9506,0.0008,0.0146,0.0578,0.1391,-0.0044,-0.0285,0.9899
0,18:18:48,,-0.1611,0.4282,0.8892,-0.1229,0.4268,0.8959,0.0035,0.0049,0.0593,0.2199,0.0190,-0.0366,0.9747
0,18:18:49,,-0.0248,-0.1142,0.9931,0.0400,-0.1187,0.9921,0.0020,0.0210,0.0557,0.0830,0.0062,-0.0250,0.9962
0,18:18:50,,-0.3488,0.4119,0.8418,-0.3114,0.4119,0.8564,0.0098,0.0073,0.0583,0.1974,0.0703,-0.0497,0.9765
0,18:18:51,,-0.1783,0.5891,0.7882,-0.1404,0.5865,0.7977,0.0103,0.0024,0.0586,0.2361,0.0718,-0.0645,0.9669
0,18:18:52,,-0.3571,0.4993,0.7894,-0.3221,0.4987,0.8047,0.0134,-0.0006,0.0581,0.2586,0.0976,-0.0739,0.9582
0,18:18:53,,-0.0343,0.5182,0.8546,0.0119,0.5107,0.8597,0.0101,0.0028,0.0587,0.2330,0.0696,-0.0658,0.9678
0,18:18:54,,0.1593,0.5247,0.8362,0.2527,0.5102,0.8221,-0.0078,0.0101,0.0582,0.1806,-0.0870,-0.0481,0.9785
0,18:18:55,,0.0662,0.1633,0.9844,0.1120,0.1573,0.9812,-0.0070,0.0105,0.0582,0.1768,-0.0787,-0.0443,0.9801
0,18:18:56,,-0.0635,0.1850,0.9807,-0.0253,0.1806,0.9832,-0.0029,0.0129,0.0581,0.1553,-0.0459,-0.0506,0.9855
0,18:18:57,,-0.1045,0.1554,0.9823,-0.0412,0.1482,0.9881,-0.0023,0.0128,0.0581,0.1556,-0.0400,-0.0492,0.9858
# START SESSION 0: 18:21:44
0,18:21:44,,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0,18:21:45,,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0,18:21:46,,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0,18:21:47,,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0,18:21:48,,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
0,18:21:49,,NaN,NaN,NaN,NaN,NaN,NaN,-0.0058,0.0193,0.0561,0.0987,-0.0538,-0.0005,0.9937
0,18:21:50,,0.2134,0.3258,0.9211,0.2506,0.3258,0.9116,-0.0189,-0.0019,0.0565,0.2722,-0.1542,0.0449,0.9487
0,18:21:51,,0.4488,0.5068,0.7360,0.4813,0.5034,0.7176,-0.0211,-0.0098,0.0549,0.3315,-0.1694,0.0728,0.9253
0,18:21:52,,0.3404,0.7231,0.6011,0.3772,0.7210,0.5812,-0.0250,-0.0130,0.0525,0.3520,-0.2029,0.0969,0.9086
0,18:21:53,,0.3171,0.2490,0.9151,0.3539,0.2479,0.9018,-0.0164,0.0101,0.0564,0.1744,-0.1358,0.0331,0.9747
0,18:21:54,,0.2155,0.2523,0.9434,0.2546,0.2512,0.9339,-0.0119,0.0104,0.0575,0.1739,-0.0987,0.0214,0.9796
0,18:21:55,,-0.0831,0.8472,0.5248,-0.0474,0.8501,0.5245,-0.0048,-0.0056,0.0591,0.3057,-0.0380,0.0148,0.9512
0,18:21:56,,-0.0176,0.6244,0.7809,0.0315,0.6227,0.7818,-0.0002,-0.0129,0.0582,0.3645,-0.0027,-0.0077,0.9312
0,18:21:57,,0.0406,0.3380,0.9403,0.0791,0.3354,0.9388,0.0005,0.0010,0.0596,0.2528,0.0005,-0.0133,0.9674
0,18:21:58,,-0.0113,0.3120,0.9500,0.0325,0.3102,0.9501,0.0013,0.0028,0.0595,0.2383,0.0091,-0.0067,0.9711
0,18:21:59,,0.0897,0.1644,0.9823,0.1312,0.1626,0.9779,-0.0028,0.0156,0.0574,0.1306,-0.0264,-0.0015,0.9911
0,18:22:00,,0.0269,-0.0185,0.9995,0.0650,-0.0209,0.9977,0.0004,0.0174,0.0570,0.1152,-0.0046,-0.0194,0.9931
0,18:22:01,,0.0179,0.0989,0.9949,0.0979,0.0930,0.9908,0.0005,0.0185,0.0566,0.1056,-0.0052,-0.0214,0.9942
0,18:22:02,,-0.1251,0.3301,0.9356,-0.0530,0.3264,0.9437,0.0023,0.0161,0.0573,0.1258,0.0086,-0.0284,0.9916
0,18:22:03,,-0.0244,0.0113,0.9996,0.0139,0.0081,0.9999,0.0031,0.0174,0.0569,0.1149,0.0144,-0.0316,0.9928
0,18:22:04,,0.0315,0.1559,0.9873,0.0708,0.1522,0.9858,0.0027,0.0173,0.0569,0.1151,0.0112,-0.0307,0.9928
0,18:22:06,,-0.2170,0.1742,0.9605,-0.1482,0.1690,0.9744,0.0082,0.0169,0.0565,0.1173,0.0591,-0.0374,0.9906
0,18:22:07,,-0.1991,0.1711,0.9649,-0.1511,0.1678,0.9742,0.0081,0.0170,0.0565,0.1170,0.0591,-0.0340,0.9908
0,18:22:08,,-0.3559,0.1648,0.9199,-0.3197,0.1625,0.9335,0.0149,0.0155,0.0556,0.1273,0.1196,-0.0418,0.9837
0,18:22:09,,-0.4014,0.0853,0.9119,-0.3659,0.0829,0.9269,0.0180,0.0177,0.0540,0.1082,0.1501,-0.0394,0.9819
0,18:22:10,,-0.1668,0.2145,0.9624,-0.1284,0.2111,0.9690,0.0138,0.0169,0.0554,0.1163,0.1113,-0.0373,0.9863
0,18:22:11,,-0.1387,0.2559,0.9567,-0.1001,0.2522,0.9625,0.0119,0.0173,0.0558,0.1125,0.0925,-0.0393,0.9885
0,18:22:12,,-0.1438,0.4058,0.9026,-0.1036,0.4040,0.9089,0.0080,0.0059,0.0587,0.2110,0.0622,-0.0267,0.9751
0,18:22:13,,-0.1555,0.3669,0.9172,-0.0877,0.3636,0.9274,0.0084,0.0036,0.0589,0.2299,0.0653,-0.0286,0.9706
0,18:22:14,,-0.1760,0.3541,0.9185,-0.1211,0.3517,0.9282,0.0087,0.0050,0.0587,0.2181,0.0678,-0.0291,0.9731
0,18:22:15,,-0.5105,0.1843,0.8399,-0.4568,0.1825,0.8707,0.0262,0.0116,0.0523,0.1588,0.2240,-0.0450,0.9605
0,18:22:16,,-0.3664,0.4369,0.8215,-0.2824,0.4335,0.8558,0.0222,0.0087,0.0546,0.1851,0.1864,-0.0416,0.9640
0,18:22:17,,-0.2387,0.4046,0.8828,-0.1622,0.3996,0.9022,0.0165,0.0044,0.0571,0.2210,0.1333,-0.0422,0.9652
0,18:22:18,,-0.1966,0.3440,0.9182,-0.1217,0.3379,0.9333,0.0154,0.0048,0.0574,0.2178,0.1227,-0.0434,0.9673
0,18:22:19,nicewaterfall,-0.1976,0.3348,0.9213,-0.1264,0.3293,0.9357,0.0152,0.0048,0.0574,0.2180,0.1218,-0.0419,0.9674
0,18:22:20,sittinginpark,-0.1873,0.3318,0.9246,-0.0879,0.3242,0.9419,0.0147,0.0051,0.0575,0.2158,0.1183,-0.0376,0.9685
0,18:22:21,sittinginpark,0.0120,0.2188,0.9757,0.0587,0.2146,0.9749,0.0047,0.0121,0.0582,0.1595,0.0313,-0.0275,0.9863
0,18:22:22,sittinginpark,0.0129,0.1608,0.9869,0.0613,0.1564,0.9858,0.0047,0.0146,0.0576,0.1380,0.0305,-0.0297,0.9895
0,18:22:23,sittinginpark,-0.0237,0.2778,0.9603,0.0657,0.2729,0.9598,0.0017,0.0140,0.0579,0.1441,0.0102,-0.0119,0.9894
0,18:22:24,outerspace,0.0249,0.2070,0.9780,0.1145,0.2009,0.9729,0.0013,0.0141,0.0579,0.1437,0.0064,-0.0142,0.9895
0,18:22:25,,-0.0743,0.1660,0.9833,0.0084,0.1627,0.9866,0.0012,0.0156,0.0575,0.1309,0.0070,-0.0101,0.9913
0,18:22:26,,0.0003,0.1659,0.9861,0.0831,0.1616,0.9834,0.0011,0.0159,0.0574,0.1285,0.0058,-0.0102,0.9916
0,18:22:27,,0.0023,0.1817,0.9834,0.0697,0.1783,0.9815,0.0009,0.0159,0.0574,0.1283,0.0043,-0.0097,0.9917
0,18:22:28,,-0.0761,0.0346,0.9965,-0.0373,0.0330,0.9988,0.0011,0.0173,0.0570,0.1162,0.0058,-0.0093,0.9932
0,18:22:29,,0.0139,0.0280,0.9995,0.0526,0.0263,0.9983,0.0007,0.0202,0.0561,0.0911,0.0022,-0.0093,0.9958
0,18:22:30,,0.0465,0.1882,0.9810,0.1100,0.1846,0.9766,0.0005,0.0198,0.0562,0.0939,0.0001,-0.0092,0.9955
0,18:22:31,,-0.0653,0.0115,0.9978,-0.0271,0.0077,0.9996,-0.0032,0.0214,0.0555,0.0812,-0.0459,-0.0340,0.9951
0,18:22:32,,-0.0411,0.1692,0.9847,0.0346,0.1631,0.9860,0.0028,0.0228,0.0550,0.0670,0.0128,-0.0272,0.9973
0,18:22:33,,-0.3566,0.0561,0.9326,-0.3187,0.0552,0.9462,0.0120,0.0195,0.0550,0.0961,0.1057,-0.0116,0.9897
0,18:22:34,,0.1269,0.2189,0.9674,0.1747,0.2147,0.9609,0.0032,0.0191,0.0564,0.1001,0.0233,-0.0127,0.9946
0,18:22:35,,-0.1246,0.3191,0.9395,-0.0074,0.3156,0.9488,0.0032,0.0170,0.0570,0.1185,0.0249,-0.0093,0.9926
0,18:22:36,,-0.4547,0.1681,0.8746,-0.3937,0.1678,0.9038,0.0180,0.0137,0.0551,0.1458,0.1552,-0.0236,0.9768
0,18:22:37,,0.0525,0.1841,0.9815,0.1343,0.1792,0.9746,-0.0007,0.0206,0.0559,0.0875,-0.0115,-0.0102,0.9960
0,18:22:38,,-0.1808,0.4201,0.8893,-0.1213,0.4202,0.8993,0.0077,-0.0012,0.0591,0.2703,0.0636,-0.0111,0.9606
0,18:22:39,,-0.1639,0.3559,0.9200,-0.1254,0.3554,0.9262,0.0089,0.0016,0.0589,0.2476,0.0743,-0.0132,0.9659
0,18:22:40,,-0.0345,0.1199,0.9922,0.0132,0.1174,0.9930,0.0055,0.0112,0.0583,0.1678,0.0430,-0.0160,0.9848
0,18:22:41,,-0.0414,0.1507,0.9877,0.0039,0.1481,0.9890,0.0047,0.0131,0.0579,0.1516,0.0348,-0.0184,0.9877
0,18:22:42,,-0.2785,0.3287,0.9024,-0.2393,0.3292,0.9134,0.0063,0.0125,0.0579,0.1569,0.0493,-0.0187,0.9862
0,18:22:44,,-0.0285,0.1881,0.9817,0.0679,0.1818,0.9810,0.0057,0.0128,0.0579,0.1543,0.0445,-0.0178,0.9869
0,18:22:45,,-0.0855,0.2388,0.9673,-0.0023,0.2341,0.9722,0.0056,0.0130,0.0579,0.1527,0.0432,-0.0178,0.9872
0,18:22:46,,-0.1318,0.2144,0.9678,-0.0619,0.2116,0.9754,0.0052,0.0150,0.0574,0.1358,0.0407,-0.0155,0.9898
0,18:22:47,,-0.1697,0.2579,0.9512,-0.0980,0.2559,0.9617,0.0052,0.0146,0.0575,0.1387,0.0415,-0.0145,0.9894
# START SESSION 0: 19:13:11
# START SESSION 0: 19:13:25
0,19:13:25,,0.8165,0.3584,0.4526,0.8386,0.3576,0.4109,-0.0536,1.8564,0.0243,0.1572,-0.5353,0.0918,0.8248
0,19:13:26,,0.7982,0.3676,0.4772,0.8177,0.3676,0.4430,-0.0535,0.0098,0.0243,0.1543,-0.5345,0.0931,0.8257
0,19:13:27,,0.7272,0.2132,0.6525,0.7512,0.2134,0.6246,-0.0519,0.0127,0.0263,0.1386,-0.5207,0.0725,0.8393
0,19:13:28,,0.7673,0.3338,0.5475,0.7934,0.3339,0.5089,-0.0524,0.0106,0.0262,0.1518,-0.5203,0.0841,0.8362
0,19:13:29,,0.8436,0.1564,0.5136,0.8637,0.1551,0.4795,-0.0522,0.0110,0.0265,0.1495,-0.5183,0.0811,0.8381
0,19:13:30,,0.6771,0.1855,0.7122,0.7025,0.1856,0.6871,-0.0512,0.0088,0.0291,0.1682,-0.4971,0.0856,0.8469
0,19:13:31,,0.6952,0.4534,0.5578,0.7304,0.4506,0.5133,-0.0487,-0.0027,0.0342,0.2617,-0.4480,0.1086,0.8480
0,19:13:32,,0.6387,0.4065,0.6533,0.6780,0.4053,0.6133,-0.0434,-0.0062,0.0403,0.2859,-0.3806,0.1208,0.8711
0,19:13:33,,0.6528,0.3732,0.6592,0.6940,0.3713,0.6169,-0.0436,-0.0023,0.0406,0.2585,-0.3846,0.1055,0.8798
0,19:13:34,,0.6437,0.4581,0.6130,0.6888,0.4554,0.5640,-0.0435,-0.0019,0.0407,0.2551,-0.3834,0.1065,0.8812
0,19:13:35,,0.7716,0.4025,0.4926,0.8068,0.4014,0.4336,-0.0502,-0.0041,0.0318,0.2521,-0.4584,0.1508,0.8388
0,19:13:36,,0.7472,0.4236,0.5121,0.7885,0.4212,0.4482,-0.0507,-0.0002,0.0314,0.2322,-0.4711,0.1216,0.8423
0,19:13:37,,0.7395,0.4288,0.5189,0.7913,0.4266,0.4381,-0.0509,0.0004,0.0311,0.2261,-0.4733,0.1239,0.8423
0,19:13:38,,0.7119,0.3658,0.5995,0.7905,0.3659,0.4912,-0.0504,0.0001,0.0319,0.2269,-0.4656,0.1264,0.8460
0,19:13:39,,0.7064,0.3825,0.5956,0.7655,0.3826,0.5173,-0.0501,0.0001,0.0322,0.2284,-0.4628,0.1234,0.8476
0,19:13:40,,0.7582,0.3572,0.5455,0.7998,0.3549,0.4841,-0.0501,0.0006,0.0323,0.2271,-0.4641,0.1172,0.8481
0,19:13:41,,0.7275,0.4048,0.5540,0.7849,0.4022,0.4714,-0.0499,0.0031,0.0325,0.2098,-0.4646,0.1074,0.8536
0,19:13:42,,0.6497,0.2411,0.7210,0.7166,0.2412,0.6544,-0.0463,0.0062,0.0369,0.1895,-0.4247,0.0902,0.8807
0,19:13:43,,0.6375,0.3495,0.6866,0.6975,0.3490,0.6258,-0.0450,0.0005,0.0390,0.2343,-0.4022,0.1045,0.8788
0,19:13:44,,0.5950,0.5010,0.6284,0.6745,0.4995,0.5437,-0.0448,-0.0007,0.0393,0.2436,-0.3986,0.1082,0.8776
0,19:13:45,,0.6648,0.4684,0.5820,0.7298,0.4648,0.5014,-0.0457,-0.0088,0.0372,0.3002,-0.4054,0.1406,0.8519
0,19:13:46,,0.8812,0.4576,-0.1189,0.8804,0.4480,-0.1557,-0.0581,0.0011,0.0134,0.2244,-0.6114,0.1226,0.7489
0,19:13:47,,0.8938,0.3471,0.2839,0.9266,0.3445,0.1507,-0.0585,0.0035,0.0108,0.1827,-0.6236,0.1431,0.7465
0,19:13:48,,0.8654,0.3480,0.3605,0.9010,0.3499,0.2563,-0.0582,0.0021,0.0127,0.1895,-0.6078,0.1535,0.7557
0,19:13:49,,0.8761,0.3778,0.2994,0.9079,0.3770,0.1831,-0.0580,0.0012,0.0137,0.1947,-0.5997,0.1578,0.7600
0,19:13:50,,0.9114,0.2636,0.3160,0.9371,0.2628,0.2298,-0.0577,0.0028,0.0146,0.1858,-0.5964,0.1483,0.7667
0,19:13:51,,0.8961,0.3031,0.3241,0.9303,0.3002,0.2108,-0.0573,0.0036,0.0159,0.1858,-0.5893,0.1379,0.7741
0,19:13:52,,0.9076,0.3335,0.2552,0.9203,0.3316,0.2077,-0.0572,0.0039,0.0162,0.1849,-0.5881,0.1351,0.7757
0,19:13:53,,0.8885,0.3518,0.2945,0.9004,0.3507,0.2573,-0.0571,0.0040,0.0167,0.1855,-0.5852,0.1332,0.7781
0,19:13:54,,0.8754,0.1335,0.4647,0.8927,0.1321,0.4308,-0.0543,0.0114,0.0217,0.1443,-0.5563,0.0844,0.8140
0,19:13:55,,0.9606,0.2607,0.0960,0.9650,0.2559,0.0576,-0.0548,0.0114,0.0204,0.1453,-0.5668,0.0833,0.8066
0,19:13:56,,0.9031,0.2587,0.3427,0.9218,0.2555,0.2916,-0.0542,0.0103,0.0225,0.1518,-0.5494,0.0890,0.8168
0,19:13:57,,0.7565,0.3802,0.5321,0.7789,0.3812,0.4980,-0.0527,0.0031,0.0277,0.1991,-0.5014,0.1263,0.8325
0,19:13:58,,0.7212,0.3965,0.5680,0.7892,0.3921,0.4727,-0.0490,0.0012,0.0339,0.2263,-0.4516,0.1094,0.8561
0,19:13:59,,0.7346,0.5213,0.4343,0.7862,0.5132,0.3443,-0.0510,0.0037,0.0306,0.2100,-0.4845,0.0977,0.8436
0,19:14:00,,0.8214,0.3321,0.4636,0.8595,0.3257,0.3940,-0.0527,0.0102,0.0258,0.1686,-0.5313,0.0635,0.8278
0,19:14:01,,0.8745,0.1293,0.4675,0.9013,0.1239,0.4151,-0.0521,0.0100,0.0272,0.1691,-0.5196,0.0654,0.8350
0,19:14:02,,0.9698,-0.0245,0.2425,0.9838,-0.0331,0.1761,-0.0553,0.0131,0.0179,0.1523,-0.5963,0.0499,0.7866
0,19:14:03,,0.8956,-0.0637,0.4403,0.9320,-0.0751,0.3545,-0.0551,0.0142,0.0177,0.1404,-0.5961,0.0495,0.7890
0,19:14:04,,0.9397,0.1079,0.3244,0.9557,0.1028,0.2757,-0.0548,0.0132,0.0193,0.1445,-0.5827,0.0577,0.7976
0,19:14:05,,0.9502,0.2532,0.1819,0.9612,0.2458,0.1248,-0.0551,0.0120,0.0194,0.1496,-0.5795,0.0685,0.7982
0,19:14:06,motorcycleride,0.9354,0.3536,0.0001,0.9373,0.3468,-0.0352,-0.0554,0.0113,0.0187,0.1521,-0.5829,0.0757,0.7945
0,19:14:07,motorcycleride,0.9068,0.3353,0.2555,0.9178,0.3317,0.2180,-0.0555,0.0114,0.0186,0.1505,-0.5839,0.0760,0.7941
0,19:14:08,motorcycleride,0.5595,0.0098,0.8288,0.5872,0.0105,0.8093,-0.0493,0.0124,0.0311,0.1309,-0.4713,0.0905,0.8675
0,19:14:09,motorcycleride,0.8082,-0.2416,0.5371,0.8276,-0.2401,0.5073,-0.0333,0.0252,0.0425,0.0442,-0.3284,0.0110,0.9434
0,19:14:10,motorcycleride,0.9949,0.0585,0.0820,0.9983,0.0575,-0.0011,-0.0571,0.0169,-0.0014,0.0806,-0.7090,0.0887,0.6949
0,19:14:11,,0.9686,0.1944,0.1550,0.9778,0.1928,0.0818,-0.0587,0.0080,0.0069,0.1457,-0.6516,0.1305,0.7329
0,19:14:12,,0.9986,-0.0486,0.0217,0.9985,-0.0507,-0.0217,-0.0572,0.0155,0.0060,0.1071,-0.6676,0.0783,0.7326
0,19:14:13,,0.9963,0.0322,0.0797,0.9987,0.0306,0.0412,-0.0573,0.0147,0.0073,0.1086,-0.6568,0.0867,0.7412
0,19:14:15,,0.9967,0.0036,0.0814,0.9994,0.0019,0.0344,-0.0574,0.0141,0.0077,0.1112,-0.6532,0.0907,0.7434
0,19:14:16,,0.9716,0.2366,0.0051,0.9717,0.2339,-0.0341,-0.0574,0.0138,0.0082,0.1133,-0.6493,0.0933,0.7462
0,19:14:17,,0.9712,0.2364,0.0306,0.9722,0.2341,-0.0080,-0.0574,0.0137,0.0082,0.1133,-0.6494,0.0940,0.7461
0,19:14:18,,0.9180,0.1734,0.3567,0.9314,0.1740,0.3198,-0.0555,0.0136,0.0169,0.1099,-0.5836,0.1000,0.7983
0,19:14:19,,0.0242,0.1658,0.9859,0.0633,0.1690,0.9836,-0.0069,0.0192,0.0560,0.0964,-0.0383,0.0558,0.9930
0,19:14:20,,0.7162,0.1472,0.6822,0.7344,0.1448,0.6631,-0.0123,0.0177,0.0555,0.1099,-0.1007,0.0293,0.9884
0,19:14:21,,0.9505,0.2044,0.2341,0.9596,0.2015,0.1964,-0.0535,0.0173,0.0197,0.1022,-0.5725,0.0566,0.8115
0,19:14:22,,0.8386,0.5382,0.0844,0.8438,0.5347,0.0462,-0.0579,-0.0033,0.0137,0.2253,-0.5943,0.1780,0.7513
0,19:14:23,,0.9301,0.2985,0.2141,0.9539,0.2899,0.0774,-0.0568,0.0081,0.0162,0.1558,-0.5912,0.1158,0.7828
0,19:14:24,,0.9252,0.2699,0.2667,0.9522,0.2644,0.1531,-0.0562,0.0086,0.0177,0.1535,-0.5806,0.1121,0.7917
0,19:14:25,,0.8478,0.3874,0.3623,0.9063,0.3822,0.1805,-0.0562,0.0089,0.0177,0.1521,-0.5812,0.1099,0.7918
0,19:14:26,,0.8284,0.4233,0.3668,0.8897,0.4194,0.1807,-0.0563,0.0087,0.0175,0.1524,-0.5819,0.1123,0.7909
0,19:14:27,motorcycleride,0.8559,0.4652,0.2258,0.8729,0.4612,0.1595,-0.0562,0.0089,0.0177,0.1515,-0.5808,0.1103,0.7922
0,19:14:28,motorcycleride,0.8509,0.4485,0.2733,0.8877,0.4407,0.1333,-0.0562,0.0091,0.0177,0.1507,-0.5812,0.1094,0.7921
0,19:14:29,motorcycleride,0.8974,0.4221,0.1281,0.9037,0.4184,0.0906,-0.0562,0.0093,0.0176,0.1497,-0.5820,0.1078,0.7920
0,19:14:30,motorcycleride,0.6658,0.2060,0.7172,0.6925,0.2095,0.6903,-0.0511,0.0122,0.0280,0.1236,-0.4939,0.1048,0.8543
0,19:14:31,motorcycleride,0.7542,0.6205,0.2148,0.7877,0.6100,0.0862,-0.0556,0.0096,0.0193,0.1438,-0.5681,0.1110,0.8026
0,19:14:32,motorcycleride,0.8823,0.3997,0.2485,0.8939,0.3979,0.2067,-0.0554,0.0100,0.0194,0.1413,-0.5671,0.1094,0.8040
0,19:14:33,motorcycleride,0.7638,0.2822,0.5805,0.7983,0.2848,0.5307,-0.0541,0.0104,0.0226,0.1432,-0.5445,0.1004,0.8203
0,19:14:34,motorcycleride,0.3433,0.3666,0.8647,0.3767,0.3692,0.8495,-0.0371,0.0083,0.0459,0.1820,-0.3273,0.0632,0.9251
0,19:14:35,motorcycleride,0.3332,0.3519,0.8748,0.3667,0.3543,0.8602,-0.0362,0.0087,0.0465,0.1799,-0.3199,0.0594,0.9283
0,19:14:36,motorcycleride,0.3443,0.3439,0.8736,0.3781,0.3460,0.8587,-0.0359,0.0094,0.0466,0.1746,-0.3175,0.0568,0.9303
0,19:14:37,motorcycleride,0.3416,0.3606,0.8679,0.3756,0.3622,0.8531,-0.0350,0.0101,0.0471,0.1719,-0.3124,0.0474,0.9331
0,19:14:38,motorcycleride,0.4133,0.2726,0.8688,0.4471,0.2729,0.8518,-0.0354,0.0112,0.0466,0.1627,-0.3179,0.0442,0.9330
0,19:14:39,motorcycleride,0.6261,0.3254,0.7086,0.6675,0.3256,0.6696,-0.0438,0.0091,0.0394,0.1700,-0.3998,0.0766,0.8974
0,19:14:40,motorcycleride,0.5617,0.3828,0.7335,0.6054,0.3840,0.6971,-0.0438,0.0089,0.0394,0.1740,-0.4013,0.0709,0.8965
0,19:14:41,motorcycleride,0.5488,0.3941,0.7372,0.5903,0.3959,0.7034,-0.0439,0.0091,0.0392,0.1713,-0.4023,0.0729,0.8964
0,19:14:42,motorcycleride,0.5212,0.4299,0.7373,0.5601,0.4313,0.7073,-0.0424,0.0032,0.0417,0.2187,-0.3768,0.0863,0.8960
0,19:14:43,,0.7326,0.2048,0.6491,0.7582,0.2032,0.6196,-0.0462,0.0080,0.0367,0.1818,-0.4303,0.0727,0.8812
0,19:14:44,,0.6733,0.2027,0.7110,0.7012,0.2022,0.6837,-0.0462,0.0093,0.0364,0.1693,-0.4316,0.0736,0.8830
0,19:14:45,,0.6797,0.2084,0.7033,0.7068,0.2079,0.6762,-0.0463,0.0098,0.0362,0.1648,-0.4327,0.0733,0.8833
0,19:14:46,,0.6470,0.6372,0.4188,0.6806,0.6349,0.3658,-0.0502,0.0091,0.0308,0.1674,-0.4828,0.0822,0.8556
0,19:14:47,,0.7533,0.5140,0.4102,0.8214,0.5086,0.2583,-0.0529,0.0023,0.0274,0.1992,-0.5000,0.1390,0.8313
0,19:14:48,outerspace,0.8333,0.2957,0.4671,0.8518,0.2960,0.4323,-0.0530,0.0035,0.0270,0.1913,-0.5047,0.1328,0.8313
0,19:14:49,outerspace,0.8492,0.2775,0.4494,0.8670,0.2775,0.4140,-0.0529,0.0040,0.0271,0.1874,-0.5045,0.1305,0.8327
0,19:14:50,deepseadiving,0.7482,0.2596,0.6106,0.7709,0.2616,0.5807,-0.0529,0.0044,0.0271,0.1842,-0.5039,0.1304,0.8338
0,19:14:51,deepseadiving,0.8421,0.2309,0.4874,0.8606,0.2313,0.4538,-0.0528,0.0047,0.0272,0.1823,-0.5038,0.1290,0.8344
0,19:14:52,deepseadiving,0.8388,0.2187,0.4985,0.8576,0.2193,0.4652,-0.0529,0.0046,0.0271,0.1824,-0.5044,0.1291,0.8341
0,19:14:53,outerspace,0.8110,0.3223,0.4882,0.8365,0.3233,0.4425,-0.0529,0.0047,0.0269,0.1812,-0.5054,0.1297,0.8336
0,19:14:54,outerspace,0.8187,0.1878,0.5427,0.8418,0.1885,0.5057,-0.0527,0.0068,0.0269,0.1685,-0.5076,0.1183,0.8367
0,19:14:55,outerspace,0.7606,0.3054,0.5728,0.8012,0.3048,0.5150,-0.0497,0.0102,0.0313,0.1545,-0.4753,0.0857,0.8619
# START SESSION 0: 19:39:53
0,19:39:53,,-0.1153,0.2012,0.9727,-0.0549,0.1988,0.9785,0.0090,1.8637,0.0564,0.1198,0.0781,-0.0103,0.9897
0,19:39:55,,-0.0285,0.1331,0.9907,0.0102,0.1318,0.9912,0.0058,0.0166,0.0569,0.1224,0.0509,-0.0043,0.9912
0,19:39:56,,-0.0872,0.1742,0.9808,-0.0352,0.1718,0.9845,0.0071,0.0192,0.0560,0.0989,0.0598,-0.0119,0.9932
0,19:39:57,,0.0325,0.0456,0.9984,0.0857,0.0443,0.9953,0.0044,0.0184,0.0565,0.1071,0.0397,-0.0009,0.9935
0,19:39:58,,0.2458,0.1717,0.9540,0.2813,0.1689,0.9446,0.0047,0.0176,0.0567,0.1133,0.0430,0.0002,0.9926
0,19:39:59,,-0.2387,0.2060,0.9490,-0.1842,0.2064,0.9610,0.0066,0.0171,0.0567,0.1180,0.0597,-0.0008,0.9912
0,19:40:00,,0.1971,0.5664,0.8002,0.3121,0.5480,0.7761,-0.0005,0.0075,0.0591,0.1995,-0.0014,0.0077,0.9799
0,19:40:01,,0.1006,0.3832,0.9182,0.1510,0.3802,0.9125,0.0004,0.0081,0.0590,0.1946,0.0064,0.0074,0.9808
