# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-09-01
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 16:08:47
0,16:08:48,,0.2556,0.2863,0.9234,0.2893,0.2733,0.9174,-0.0849,1.1493,0.0666,0.0985,-0.0654,-0.0020,0.9930
0,16:08:49,,0.1591,0.3720,0.9145,0.1945,0.3612,0.9120,-0.1072,0.1952,0.0769,0.1613,-0.0813,0.0231,0.9833
0,16:08:50,,0.1599,0.3369,0.9278,0.1950,0.3249,0.9254,-0.0960,0.1998,0.0850,0.1401,-0.0801,0.0030,0.9869
0,16:08:51,,NaN,NaN,NaN,NaN,NaN,NaN,-0.0970,0.1935,0.0868,0.1608,-0.0788,0.0095,0.9838
0,16:08:52,,NaN,NaN,NaN,NaN,NaN,NaN,-0.1004,0.1922,0.0920,0.1655,-0.0908,0.0093,0.9820
0,16:08:53,,0.1113,0.2782,0.9541,0.1466,0.2666,0.9526,-0.0974,0.1986,0.0892,0.1331,-0.0859,0.0046,0.9874
0,16:08:54,,0.1184,0.2679,0.9562,0.1537,0.2562,0.9543,-0.0978,0.1972,0.0916,0.1407,-0.0834,0.0052,0.9865
0,16:08:55,,0.1248,0.2591,0.9578,0.1600,0.2473,0.9556,-0.0986,0.1953,0.0947,0.1457,-0.0833,0.0061,0.9858
0,16:08:56,,0.4990,0.5131,0.6983,0.5690,0.4793,0.6682,-0.1236,0.1870,0.0825,0.1791,-0.1994,0.0182,0.9632
0,16:08:57,,-0.0612,0.3700,0.9270,-0.0262,0.3614,0.9320,-0.0961,0.1833,0.0926,0.2001,-0.0772,0.0160,0.9766
0,16:08:58,,-0.1412,0.3052,0.9418,-0.1047,0.2935,0.9502,-0.0593,0.1899,0.0949,0.1695,0.0676,-0.0061,0.9832
0,16:08:59,,0.5493,0.5166,0.6568,0.5776,0.5014,0.6442,-0.1213,0.1799,0.0905,0.2143,-0.1803,0.0256,0.9596
0,16:09:00,,-0.1350,0.2797,0.9505,-0.0889,0.2674,0.9595,-0.0830,0.1810,0.1003,0.2091,-0.0163,0.0123,0.9777
0,16:09:01,,-0.0628,0.2213,0.9732,-0.0279,0.2089,0.9775,-0.0654,0.2000,0.0933,0.1303,0.0407,-0.0124,0.9906
0,16:09:02,,-0.1669,0.2034,0.9648,-0.1250,0.1892,0.9740,-0.0682,0.2241,0.0791,0.0284,0.0275,-0.0112,0.9992
0,16:09:03,,-0.0380,0.0126,0.9992,0.0069,-0.0033,1.0000,-0.0697,0.2212,0.0820,0.0389,0.0251,-0.0084,0.9989
0,16:09:04,,0.0920,0.3563,0.9298,0.1316,0.3442,0.9296,-0.0933,0.1870,0.0983,0.1891,-0.0566,0.0158,0.9802
0,16:09:05,,-0.1026,0.4927,0.8641,-0.0673,0.4841,0.8724,-0.0826,0.1688,0.1065,0.2520,0.0092,0.0083,0.9676
0,16:09:06,,-0.0041,0.2880,0.9576,0.0310,0.2759,0.9607,-0.0793,0.1959,0.1112,0.1349,-0.0067,-0.0088,0.9908
0,16:09:07,,-0.0352,0.2889,0.9567,-0.0008,0.2769,0.9609,-0.0732,0.2119,0.1003,0.0648,0.0086,-0.0138,0.9978
0,16:09:08,,-0.0288,0.2502,0.9678,0.0062,0.2381,0.9712,-0.0738,0.1997,0.1064,0.1175,0.0108,-0.0081,0.9930
0,16:09:09,,0.0470,0.5210,0.8522,0.0825,0.5098,0.8564,-0.0798,0.1846,0.1079,0.1818,-0.0104,-0.0036,0.9833
0,16:09:10,,0.0620,0.2687,0.9612,0.0971,0.2565,0.9617,-0.0866,0.1914,0.1130,0.1502,-0.0374,-0.0047,0.9879
