# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-08-27
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 10:59:35
0,10:59:35,,-0.2575,0.3081,0.9158,-0.2227,0.2950,0.9292,-0.1079,1.1468,0.4200,0.1281,0.1200,-0.0336,0.9839
0,10:59:36,,-0.2633,0.3156,0.9116,-0.2306,0.3034,0.9245,-0.1087,0.0381,0.4226,0.1365,0.1195,-0.0326,0.9829
0,10:59:37,,NaN,NaN,NaN,NaN,NaN,NaN,-0.1085,0.0379,0.4225,0.1378,0.1189,-0.0330,0.9827
0,10:59:39,,NaN,NaN,NaN,NaN,NaN,NaN,-0.1268,0.0299,0.4331,0.1681,0.0216,-0.0289,0.9851
0,10:59:40,,NaN,NaN,NaN,NaN,NaN,NaN,-0.1150,0.0313,0.4302,0.1660,0.0837,-0.0234,0.9823
0,10:59:41,,-0.2081,0.0361,0.9774,-0.1731,0.0220,0.9847,-0.1126,0.0531,0.4209,0.0712,0.0945,-0.0326,0.9924
0,10:59:42,,0.1077,0.7340,0.6706,0.1386,0.7227,0.6771,-0.1259,0.0224,0.4181,0.2102,0.0503,-0.0146,0.9762
0,10:59:43,,-0.1003,0.2554,0.9616,-0.0660,0.2397,0.9686,-0.0926,0.0583,0.4051,0.0572,0.0770,-0.0540,0.9939
0,10:59:44,,-0.2242,0.3498,0.9096,-0.1918,0.3368,0.9218,-0.0893,0.0442,0.4145,0.1071,0.1116,-0.0427,0.9870
0,10:59:45,,-0.2684,0.2687,0.9251,-0.2132,0.2459,0.9456,-0.0888,0.0424,0.3711,0.1291,0.1232,-0.0456,0.9829
0,10:59:46,,-0.2167,-0.0942,0.9717,-0.1836,-0.1094,0.9769,-0.0824,0.0656,0.3776,0.0150,0.1138,-0.0557,0.9918
0,10:59:47,,-0.3199,0.1746,0.9312,-0.2886,0.1599,0.9440,-0.0800,0.0626,0.3754,0.0215,0.1363,-0.0528,0.9890
0,10:59:48,,-0.2655,0.1660,0.9497,-0.2296,0.1491,0.9618,-0.0796,0.0602,0.3771,0.0333,0.1350,-0.0542,0.9888
0,10:59:49,,-0.3946,0.1076,0.9125,-0.3641,0.0928,0.9267,-0.0778,0.0600,0.3767,0.0319,0.1415,-0.0548,0.9879
0,10:59:50,,-0.4301,0.3108,0.8476,-0.4020,0.2976,0.8659,-0.0706,0.0537,0.3809,0.0605,0.1704,-0.0630,0.9815
0,10:59:51,,-0.3861,0.1107,0.9158,-0.3283,0.0822,0.9410,-0.0706,0.0539,0.3803,0.0601,0.1710,-0.0630,0.9814
0,10:59:52,,-0.3805,0.4051,0.8313,-0.3513,0.3910,0.8507,-0.0648,0.0320,0.3879,0.1507,0.1864,-0.0843,0.9672
0,10:59:53,,-0.2970,0.1503,0.9430,-0.2652,0.1344,0.9548,-0.0718,0.0571,0.3850,0.0499,0.1576,-0.0650,0.9841
