# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-08-15
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 12:07:51
0,12:07:51,,0.0686,0.1610,0.9846,0.1049,0.1591,0.9817,-0.1542,1.1137,0.2426,0.0591,-0.0777,-0.0130,0.9951
0,12:07:53,,0.3976,0.3736,0.8380,0.4284,0.3689,0.8248,-0.1575,0.0009,0.2430,0.0809,-0.0930,-0.0038,0.9924
0,12:07:54,,0.3216,0.4791,0.8167,0.3549,0.4781,0.8034,-0.1879,-0.0165,0.2443,0.1398,-0.1727,0.0336,0.9744
0,12:07:55,,-0.1181,0.1416,0.9829,-0.0814,0.1415,0.9866,-0.1438,0.0001,0.2551,0.0768,-0.0085,0.0046,0.9970
0,12:07:56,,-0.0874,0.1681,0.9819,-0.0514,0.1667,0.9847,-0.1419,0.0086,0.2461,0.0479,-0.0252,-0.0143,0.9984
0,12:07:57,,-0.1130,0.1736,0.9783,-0.0774,0.1725,0.9820,-0.1421,0.0088,0.2463,0.0476,-0.0246,-0.0140,0.9985
0,12:07:58,,-0.0894,0.1773,0.9801,-0.0535,0.1761,0.9829,-0.1430,0.0090,0.2462,0.0472,-0.0258,-0.0132,0.9985
0,12:07:59,,-0.0407,0.0784,0.9961,-0.0006,0.0764,0.9971,-0.1435,0.0114,0.2465,0.0415,-0.0274,-0.0128,0.9987
0,12:08:00,,-0.0370,0.2387,0.9704,-0.0010,0.2374,0.9714,-0.1426,0.0102,0.2461,0.0460,-0.0270,-0.0138,0.9985
0,12:08:01,,-0.0355,0.0633,0.9974,0.0010,0.0614,0.9981,-0.1423,0.0100,0.2462,0.0462,-0.0264,-0.0134,0.9985
0,12:08:02,,-0.0440,0.0481,0.9979,-0.0069,0.0462,0.9989,-0.1430,0.0102,0.2462,0.0460,-0.0275,-0.0131,0.9985
0,12:08:03,,-0.0402,0.0569,0.9976,-0.0037,0.0550,0.9985,-0.1428,0.0100,0.2460,0.0461,-0.0273,-0.0136,0.9985
0,12:08:04,,0.3561,0.0548,0.9328,0.3869,0.0523,0.9206,-0.1445,0.0096,0.2457,0.0480,-0.0331,-0.0127,0.9982
0,12:08:05,,0.3812,0.2398,0.8929,0.4143,0.2372,0.8787,-0.1782,0.0021,0.2420,0.0762,-0.1505,0.0015,0.9857
0,12:08:06,,0.3837,0.6427,0.6631,0.4136,0.6389,0.6486,-0.1843,-0.0235,0.2465,0.1680,-0.1661,0.0360,0.9710
0,12:08:07,,0.2892,0.3270,0.8997,0.3240,0.3263,0.8880,-0.1816,-0.0205,0.2450,0.1573,-0.1653,0.0289,0.9732
0,12:08:08,,0.2937,0.3042,0.9062,0.3285,0.3034,0.8944,-0.1809,-0.0188,0.2445,0.1548,-0.1642,0.0282,0.9738
0,12:08:09,,0.3672,-0.0870,0.9260,0.4006,-0.0896,0.9119,-0.1799,0.0142,0.2423,0.0264,-0.1784,-0.0198,0.9834
0,12:08:10,,0.2425,0.0444,0.9691,0.2775,0.0417,0.9598,-0.1787,0.0179,0.2414,0.0195,-0.1773,-0.0222,0.9837
0,12:08:11,,0.1788,0.1691,0.9692,0.2147,0.1673,0.9622,-0.1551,0.0051,0.2477,0.0676,-0.0814,-0.0038,0.9944
0,12:08:12,,0.0488,0.1601,0.9859,0.0850,0.1591,0.9836,-0.1568,0.0042,0.2464,0.0688,-0.0852,-0.0031,0.9940
0,12:08:13,,-0.8536,-0.1124,0.5086,-0.8352,-0.1106,0.5388,-0.1131,0.0188,0.2160,0.0149,0.4081,0.0471,0.9116
0,12:08:14,,-0.5806,-0.2123,0.7860,-0.5514,-0.2128,0.8066,-0.1474,0.0207,0.2308,-0.0028,0.2620,0.0159,0.9649
0,12:08:15,,-0.4549,-0.3790,0.8058,-0.4271,-0.3734,0.8235,-0.1539,0.0676,0.2678,-0.1552,0.4045,0.1101,0.8945
0,12:08:16,,0.3905,0.2353,0.8900,0.4220,0.2360,0.8753,-0.1949,0.0338,0.2660,-0.0524,-0.2118,0.0145,0.9758
0,12:08:17,,0.5684,0.2401,0.7869,0.5965,0.2380,0.7665,-0.1872,0.0068,0.2455,0.0602,-0.2083,0.0219,0.9760
0,12:08:18,,0.3202,0.2850,0.9035,0.4188,0.2823,0.8631,-0.1852,0.0003,0.2484,0.0841,-0.1778,0.0211,0.9802
0,12:08:19,,0.0582,0.0820,0.9949,0.1082,0.0812,0.9908,-0.1637,0.0080,0.2495,0.0562,-0.0646,0.0083,0.9963
