# HEADSET_ID: VIVE_XR_ELITE_001 | DATE: 2025-09-04
Session_Num,Time,Video_Name,Eye_Left_X,Eye_Left_Y,Eye_Left_Z,Eye_Right_X,Eye_Right_Y,Eye_Right_Z,Head_X,Head_Y,Head_Z,Head_Rot_X,Head_Rot_Y,Head_Rot_Z,Head_Rot_W
# START SESSION 0: 18:39:08
0,18:39:08,,-0.1485,0.1315,0.9801,-0.1124,0.1306,0.9850,-0.2162,1.1789,0.3053,0.0670,0.0399,-0.0284,0.9965
0,18:39:09,,-0.0563,0.2120,0.9757,-0.0167,0.2101,0.9775,-0.2195,0.0737,0.3030,0.0617,0.0130,-0.0363,0.9974
0,18:39:10,,-0.2487,0.1515,0.9567,-0.2144,0.1507,0.9651,-0.2177,0.0661,0.3008,0.0981,0.0294,-0.0368,0.9941
0,18:39:11,,-0.2170,0.1555,0.9637,-0.1821,0.1547,0.9710,-0.2170,0.0650,0.3041,0.1017,0.0298,-0.0361,0.9937
0,18:39:12,,-0.2105,0.1722,0.9623,-0.1755,0.1713,0.9695,-0.2179,0.0651,0.3044,0.1028,0.0297,-0.0370,0.9936
0,18:39:13,,0.0509,0.5044,0.8619,0.0924,0.5022,0.8598,-0.2310,0.0479,0.3070,0.1823,-0.0312,-0.0335,0.9822
0,18:39:14,,-0.0152,0.3699,0.9289,0.0215,0.3682,0.9295,-0.2315,0.0467,0.3010,0.1895,-0.0290,-0.0409,0.9806
0,18:39:15,,-0.6081,0.1331,0.7826,-0.5799,0.1323,0.8039,-0.1765,0.0625,0.2843,0.1113,0.2232,-0.0605,0.9665
0,18:39:16,,-0.3216,0.0801,0.9435,-0.2868,0.0780,0.9548,-0.2080,0.0762,0.2397,0.0528,0.0888,-0.0500,0.9934
0,18:39:17,,-0.1842,0.2750,0.9436,-0.1486,0.2737,0.9503,-0.2200,0.0638,0.2572,0.1109,0.0493,-0.0443,0.9916
0,18:39:18,,-0.3223,0.0550,0.9450,-0.2879,0.0529,0.9562,-0.2052,0.0787,0.2434,0.0350,0.1103,-0.0454,0.9922
0,18:39:19,,-0.2533,-0.0450,0.9663,-0.2060,-0.0479,0.9774,-0.1999,0.0872,0.2462,-0.0051,0.1179,-0.0405,0.9922
0,18:39:20,,-0.2728,0.0413,0.9612,-0.2377,0.0392,0.9705,-0.2037,0.0861,0.2445,-0.0028,0.1064,-0.0398,0.9935
0,18:39:21,,-0.3557,0.1199,0.9269,-0.3220,0.1181,0.9393,-0.2032,0.0773,0.2466,0.0385,0.1124,-0.0467,0.9918
0,18:39:22,,-0.3301,0.2033,0.9218,-0.2958,0.2012,0.9338,-0.1902,0.0622,0.2525,0.1013,0.1403,-0.0587,0.9832
0,18:39:23,,-0.3260,0.2009,0.9238,-0.2917,0.1991,0.9355,-0.1955,0.0622,0.2547,0.1034,0.1244,-0.0549,0.9853
0,18:39:24,,-0.1361,0.2026,0.9698,-0.0998,0.2001,0.9747,-0.2079,0.0727,0.2489,0.0622,0.0837,-0.0459,0.9935
0,18:39:25,,-0.3286,0.2801,0.9020,-0.2948,0.2790,0.9139,-0.2005,0.0681,0.2496,0.0803,0.1116,-0.0508,0.9892
0,18:39:26,,-0.4066,0.0739,0.9106,-0.3191,0.0693,0.9452,-0.1972,0.0803,0.2427,0.0253,0.1287,-0.0423,0.9905
0,18:39:27,,-0.2174,0.0146,0.9760,-0.1661,0.0118,0.9860,-0.2011,0.0803,0.2458,0.0291,0.1156,-0.0399,0.9921
0,18:39:28,spaceshipinside,-0.4134,0.0410,0.9096,-0.3769,0.0392,0.9254,-0.2008,0.0793,0.2450,0.0317,0.1158,-0.0400,0.9920
0,18:39:29,spaceshipinside,-0.4031,0.0481,0.9139,-0.3033,0.0431,0.9519,-0.2000,0.0785,0.2448,0.0349,0.1182,-0.0410,0.9915
0,18:39:30,spaceshipinside,-0.3851,0.0551,0.9212,-0.3209,0.0521,0.9457,-0.2001,0.0772,0.2471,0.0416,0.1169,-0.0402,0.9915
0,18:39:31,spaceshipinside,-0.9658,-0.2004,-0.1648,-0.9704,-0.2015,-0.1333,-0.1733,0.0884,0.1757,-0.0089,0.6295,0.0160,0.7768
0,18:39:32,spaceshipinside,-0.8630,-0.3639,-0.3504,-0.8757,-0.3647,-0.3166,-0.2513,0.1290,0.1789,-0.1167,0.7752,0.1486,0.6028
0,18:39:33,spaceshipinside,-0.5758,0.2566,0.7763,-0.5492,0.2574,0.7951,-0.2125,0.0808,0.2606,0.0387,0.4500,0.0261,0.8918
0,18:39:34,spaceshipinside,-0.4709,0.2733,0.8388,-0.4384,0.2740,0.8560,-0.2079,0.0464,0.2874,0.1744,0.1697,-0.0502,0.9686
0,18:39:35,,-0.4420,0.0605,0.8950,-0.4087,0.0590,0.9108,-0.2094,0.0733,0.2720,0.0638,0.1797,-0.0452,0.9806
# END SESSION 0: 18:39:36
# END SESSION 1: 18:39:36
# END SESSION 2: 18:39:36
# START SESSION 1: 18:39:36
# START SESSION 2: 18:39:36
2,18:39:36,sirmoinecastle,-0.5786,0.1423,0.8031,-0.5494,0.1423,0.8233,-0.2020,0.0776,0.2629,0.0432,0.2175,-0.0327,0.9746
# START SESSION 3: 18:39:36
3,18:39:37,sirmoinecastle,-0.5352,0.0682,0.8420,-0.5042,0.0673,0.8610,-0.1976,0.0749,0.2607,0.0522,0.2333,-0.0379,0.9703
3,18:39:38,sirmoinecastle,0.7458,-0.0553,0.6639,0.7687,-0.0576,0.6371,-0.3203,0.0905,0.2524,0.0113,-0.3339,-0.0452,0.9414
3,18:39:39,sirmoinecastle,0.0529,0.6716,0.7390,0.0869,0.6753,0.7325,-0.2791,0.0207,0.2702,0.2661,-0.1496,0.0286,0.9518
